cell_type,comparison,timepoint_1,timepoint_2,n_mice_1,n_mice_2,mean_1,mean_2,pooled_std,hedges_g,g_shrunk_skeptical,g_shrunk_neutral,g_shrunk_optimistic,g_pathological,bootstrap_range_min,bootstrap_range_max,rank
immune_cells,D1_vs_D3,D1,D3,2,2,0.023697421817780596,0.01707768318209972,0.0016149758084562722,2.3422690123349086,0.16168940863669534,0.5357975502173483,1.2709767122786562,False,2.293242010228808,7.787256528742227,1
activated_endothelial_cd140b,D1_vs_D3,D1,D3,2,2,0.033808041218126084,0.030989772634797404,0.000845621195462379,1.9044451571403145,0.1508243071771967,0.4874783285543974,1.1029507468635278,False,1.8517249089927992,21.873079555424976,2
activated_immune,D1_vs_D3,D1,D3,2,2,0.006943148070231992,0.0032438476494814532,0.001204532170649763,1.7549435425824254,0.14527886584536306,0.46550761132100826,1.0369008948859921,False,1.7549435425824254,3.0632146345924363,3
myeloid,D1_vs_D3,D1,D3,2,2,0.005440004551065606,0.003884452892359316,0.0005259060253327216,1.6902005668322853,0.14255142274633265,0.45506517545710923,1.006941678316773,False,1.6902005668322853,3.1228983712792333,4
endothelial,D1_vs_D3,D1,D3,2,2,0.044756196930495346,0.06567694349839168,0.007244537262882498,-1.6501692089793434,-0.14076268752602328,-0.4483223966380132,-0.9880121852229654,False,-13.805703426382557,-1.5789616531281188,5
activated_endothelial_cd44,D1_vs_D7,D1,D7,2,2,0.06024567164541597,0.03538449955632908,0.0077049768236751495,1.8437932230055145,0.14869811696016969,0.47892059584317154,1.0766843368121277,False,1.7531564326954356,7.416325448077537,1
activated_immune,D1_vs_D7,D1,D7,2,2,0.006943148070231992,0.003534362532775436,0.0011105674195992067,1.7539479509295755,0.14523845034068394,0.46535132984908034,1.0364463601918907,False,1.7539479509295755,3.4010134739393725,2
endothelial,D1_vs_D7,D1,D7,2,2,0.044756196930495346,0.07871670674376828,0.01235315530558845,-1.5709351277082577,-0.13698617303957153,-0.4343248016011675,-0.9496417057691802,False,-3.518796912555097,-1.5208699335856408,3
activated_fibroblast_cd140b,D1_vs_D7,D1,D7,2,2,0.0183569950020481,0.013388608467010961,0.001973546248683758,1.4385667535862021,0.1299580010767387,0.40898948246379935,0.8829126275624721,False,1.3214272304403465,5.470725122390356,4
neutrophil,D1_vs_D7,D1,D7,2,2,0.050311953378769196,0.06848286597734524,0.008112281730761691,-1.2799578432272722,-0.12031610276811015,-0.3754012117288724,-0.798778851078823,False,-3.2277737056953972,-1.1551574668301756,5
immune_cells,D3_vs_D7,D3,D7,2,2,0.01707768318209972,0.011201015938883554,0.0015024285280266993,2.2351116907788238,0.15969960879615938,0.5260409395298185,1.2333469141567759,False,2.21241942822194,64.72705575407966,1
activated_fibroblast_cd140b,D3_vs_D7,D3,D7,2,2,0.01624850452958311,0.013388608467010961,0.001313610690360281,1.2440720324996626,0.11794706306624438,0.3673156726752074,0.7791363081586383,False,1.111733748701176,3.184987347981489,2
activated_myeloid_cd44,D3_vs_D7,D3,D7,2,2,0.006990405837736791,0.00836208373095185,0.0007334557191360092,-1.0686615681494003,-0.10536951408154362,-0.3252651087955143,-0.680079530478139,False,-3.7780137922137063,-0.9130819356702671,3
neutrophil,D3_vs_D7,D3,D7,2,2,0.06003114796097453,0.06848286597734524,0.005075188976664842,-0.9516006545603689,-0.09606748233318063,-0.2949432178551581,-0.6113341909621258,False,-2.951319590355675,-0.7702564781837867,4
endothelial,D3_vs_D7,D3,D7,2,2,0.06567694349839168,0.07871670674376828,0.010139879337470785,-0.7348502911210124,-0.07702829243219976,-0.23440191420335252,-0.47911989755989887,False,-11.367015299557702,-0.6738101254817874,5
immune_cells,Sham_vs_D1,Sham,D1,2,2,0.0201013105668958,0.023697421817780596,0.0014073328289802042,-1.4601526181126399,-0.13116660330330876,-0.41328839501282544,-0.8940150413960406,False,-4.671015951808251,-1.3446888213099528,1
activated_fibroblast_cd44,Sham_vs_D1,Sham,D1,2,2,0.014618307051701765,0.02173041532727465,0.0041293056822585845,-0.9841998109311773,-0.09872950532090821,-0.3035627814754933,-0.6306787686422181,False,-6.912194794508676,-0.8789131324343857,2
activated_myeloid_cd140b,Sham_vs_D1,Sham,D1,2,2,0.0018493078729909613,0.0013740495565579094,0.0003588970418360859,0.756696626501926,0.0790482663032818,0.24074487101495592,0.4927094022315282,False,0.5798052244848878,3.290921832380242,3
fibroblast,Sham_vs_D1,Sham,D1,2,2,0.02413089239448806,0.021830895423638322,0.002130026198937408,0.6170271445479668,0.06577607905341239,0.19935093277215343,0.40492788160556387,False,0.31579820986267265,6.898238037664548,4
endothelial,Sham_vs_D1,Sham,D1,2,2,0.038281466764574765,0.044756196930495346,0.007383547358980089,-0.5010932590007177,-0.05416583534852534,-0.16360767142017316,-0.33060331191022485,False,-4.232852185100609,0.21001203545824887,5
activated_m2_cd44,Sham_vs_D3,Sham,D3,2,2,0.02525844844738887,0.037459550175672034,0.002811560486967475,-2.4797823709521274,-0.16368934523437692,-0.5465289692346429,-1.316000398551171,False,-5.582222084518821,-2.4797823709521274,1
neutrophil,Sham_vs_D3,Sham,D3,2,2,0.04818170475495891,0.06003114796097453,0.0029266839358113323,-2.313577602482182,-0.16119524974276958,-0.533308459376659,-1.2611213155484708,False,-5.342136252167819,-2.313577602482182,2
activated_m2_cd140b,Sham_vs_D3,Sham,D3,2,2,0.0024540439061670315,0.006371927031029921,0.0014495307285321717,-1.5444932025218665,-0.13565488824390162,-0.4294595467263447,-0.9365723372004914,False,-10.396084465292136,-1.4590356787672385,3
activated_fibroblast_cd44,Sham_vs_D3,Sham,D3,2,2,0.014618307051701765,0.026707981876124633,0.004558624313367458,-1.515454035924425,-0.1341513296472374,-0.4240040112512141,-0.9220683933534067,False,-4.304001285263237,-1.41249695345136,4
activated_endothelial_cd44,Sham_vs_D3,Sham,D3,2,2,0.055614240557888064,0.04384934220560748,0.005955577740897291,1.1288239950727539,0.10986930403037956,0.3401546718834886,0.714608286544113,False,1.024109935830663,7.2532261157950675,5
activated_myeloid_cd44,Sham_vs_D7,Sham,D7,2,2,0.017165441657749424,0.00836208373095185,0.0017970657740785812,2.7992799798680923,0.16626783279790291,0.5644856701959795,1.4068514928505853,False,2.7419067872705347,19.608627609468286,1
neutrophil,Sham_vs_D7,Sham,D7,2,2,0.04818170475495891,0.06848286597734524,0.004679631395706914,-2.4789695116354165,-0.1636792387525515,-0.5464711853150787,-1.3157449272237405,False,-9.208673724043692,-2.4256877827751064,2
fibroblast,Sham_vs_D7,Sham,D7,2,2,0.02413089239448806,0.015189669825837731,0.002099040970785826,2.4340973379457114,0.1630904581366983,0.5431788994895246,1.301446243857517,False,2.423262561507103,151.8538549173312,3
endothelial,Sham_vs_D7,Sham,D7,2,2,0.038281466764574765,0.07871670674376828,0.010239658413613014,-2.2565060750429096,-0.16012879304539415,-0.5280903073037981,-1.2410394954429842,False,-15.69076486424969,-2.1894726160838864,4
activated_fibroblast_cd140b,Sham_vs_D7,Sham,D7,2,2,0.018756365231281893,0.013388608467010961,0.0018982711958676168,1.6158331782416715,0.1391649942668414,0.4423632531030644,0.9715310069161406,False,1.5118632770787692,5.72655923608713,5
